x,y,z,x,y,z
11.35555468,-4.403152542,-11.79121171,3.082234859,2.442608595,-0.4726729989
0.3470838374,-6.681836894,-14.81155555,3.423787594,3.282686234,-0.06598173082
-13.4778391,-8.964557371,-23.90362754,4.371109486,0.7358856201,0.159567222
-32.29769856,-8.150714684,-34.42815226,6.734791756,-0.5369966626,-0.248840645
-50.23870716,-0.2215063237,-27.35164501,7.01932621,2.011666298,-2.315711975
-39.48248965,5.644400556,-9.848776493,4.314720154,5.621786594,-3.847345591
-19.07472387,12.11801205,-2.032105547,1.866432667,6.904793739,-3.824966908
-3.546573706,15.82677187,-5.965151098,2.775468349,4.861627102,-2.627900362
4.236970046,19.40080642,-4.797323709,4.928222656,2.494392633,-1.088476539
6.684242786,23.14472407,2.43664321,5.878693581,0.7433920503,0.0118023511
5.148670464,27.60919705,8.226407931,6.086696625,-0.3637220562,-0.09917914867
8.636685599,31.13336603,14.60347277,5.6450634,-1.068614006,-0.4281589091
21.43234147,32.62539089,24.1265712,3.005700111,-1.59043014,0.8126382828
30.4190265,32.80571121,26.34275088,-0.9121010303,-1.831942439,3.814473152
23.37639114,34.06935168,15.11684081,-2.684447289,-1.344360232,6.528695107
12.86569855,34.54963227,7.942121033,-2.67603898,-1.300927758,8.03921032
1.419167126,31.54366065,6.43760436,-2.243435621,-2.021739244,7.959941864
-3.947417775,29.00069349,7.924981683,-2.544374704,-3.822990417,8.52528286
-18.82559363,30.1988675,1.387128896,-2.662916422,-3.71556139,10.83113098
-56.13403594,27.32488326,-5.345449174,-1.994116545,-0.8195425272,10.06074047
-68.75667392,14.37686533,-6.724740801,-1.274656892,1.424530387,4.705102921
-62.08436123,-0.005235562566,1.027297075,-3.376188993,2.460019588,0.9112750888
-27.60125924,-3.542860239,-0.364255337,-5.134097576,4.026244164,0.4212120771
-10.69152963,-5.582999455,-4.187950871,-5.5079422,3.438792467,0.4678731263
-2.81603591,-7.34071406,-6.23680297,-5.176647663,1.346149087,0.2342016101
2.935049828,-8.23060246,-6.395241136,-5.047798157,-0.02259006537,0.275433749
5.209383,-9.243875832,-7.231150692,-5.059164047,-0.1708131731,0.104097113
6.314709217,-10.13757122,-8.143705098,-5.125834465,0.4636713862,-0.3585049808
9.020902358,-13.67301096,-10.7254167,-4.90155077,1.449881554,-0.9636207223
13.29984984,-20.09798555,-14.73724879,-4.0369277,1.853025794,-1.650224686
14.3479198,-24.30506549,-20.65806741,-2.289727926,1.000216126,-1.884603977
4.480127645,-22.29084748,-25.71434776,0.2709872723,1.279981613,-2.501893997
-8.012629571,-15.16488384,-25.53846746,3.316141129,3.248498201,-3.926248312
-9.305267581,-5.957625963,-19.07754126,5.969931126,4.552554131,-4.314504623
-6.798992032,-1.671827005,-11.88997019,7.442018032,3.779227018,-3.819129467
-10.12327382,-0.2893941572,-8.003349701,7.424655914,1.176663995,-3.938123465
-20.15643774,-0.4171516454,-11.32169917,7.365053654,-0.5623697639,-4.495351791
-31.20735715,5.106774273,-13.13788935,6.629079819,0.1965472996,-5.004103661
-31.49172705,9.605947395,-9.872324541,4.7140975,1.456556201,-4.052096844
-33.04963454,12.46703708,-6.402867977,2.142344236,2.608455658,-5.109899521
-17.19666322,18.83191815,-4.498526056,0.5647086501,4.521054745,-5.380362988
-0.0007324059278,21.7230359,-4.763755201,1.189284444,4.27547884,-4.147866249
8.295488481,23.10045472,-3.235686387,2.837953091,1.597356915,-2.700711727
8.56113556,26.374778,1.033407813,3.631549835,-0.1147073135,-2.019151211
