acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
2.913502013,-0.6643523822,4.39185198,-2.728972912,-2.295281172,4.825618267
1.987310712,-0.9390089891,3.756276779,-3.102638245,-2.014395714,4.426242352
0.7527303384,-1.935931238,2.113829598,-3.236498356,-1.99835825,4.11638689
-0.4301099111,-2.702027254,0.597574848,-3.234126806,-2.301695824,4.002269745
-1.341369016,-2.306348897,0.5959449087,-3.111624002,-2.537064552,3.783010721
-0.8899714019,-1.822824791,0.8079796397,-3.033710718,-2.341847658,3.349631548
1.619468749,-3.05653072,0.4550830243,-2.764313459,-1.92438674,3.018065453
3.47473129,-5.093852248,0.8021709534,-2.496313095,-1.639433265,3.314557076
-0.2232709952,-4.986843241,2.03323309,-2.313094854,-1.93392086,3.475542307
-3.339343161,-1.220235037,4.869307287,-2.224835634,-1.679278374,2.822741032
-2.51403157,-1.980428551,3.866574014,-1.608536363,-1.95249331,2.560262918
-2.110533772,-0.9863993935,6.531628797,-1.552978396,-2.030594587,2.673280954
-3.658885496,3.533945111,9.81024481,-2.301208258,-2.126169682,2.591258287
-5.537616591,5.787832291,12.72697046,-3.209490061,-2.206250668,2.439308167
-4.935938983,7.054021855,12.18210254,-4.072045803,-2.231800795,2.207375526
-5.029886849,5.079600435,10.21872624,-4.677048206,-1.779844046,1.989232183
-4.344067315,3.038459349,6.004013036,-4.777337551,-1.239206195,1.21506393
-4.236296092,2.136398427,3.761248138,-4.29660368,-0.6625967622,0.154457137
-5.635501211,3.021889322,3.918760421,-3.803081989,0.2792313695,-0.9181981087
-6.807825911,0.6530582503,2.647128373,-3.600695372,0.3992568254,-2.070882797
-5.108810748,0.9725476861,0.03897942674,-3.312957525,0.08356444538,-3.032416344
-3.38136327,3.985880192,-1.753320754,-2.101749897,0.03406054154,-3.212781429
-0.8091700185,6.723624949,-4.522242155,-0.5347901583,0.1100798175,-2.973469019
1.626554908,6.367520769,-4.355603732,0.3060334623,0.4796855748,-2.418427229
0.9515297402,3.435347082,-3.207173701,0.564401567,0.7596288919,-1.609547615
0.1635977401,1.560142115,-2.73931069,0.6087775826,0.7021487951,-1.012696743
-0.09505553422,1.155919802,-1.761209754,0.8019416332,0.8808691502,-0.7088429928
-0.2010375361,0.8786366457,-1.319436001,1.122854948,1.047339678,-0.6326091886
0.8593903857,0.6293821912,-1.870168434,1.347917795,0.8830812573,-0.9022078514
0.8199240522,0.5441667907,-1.374026838,1.453293204,1.082636476,-1.122058511
1.637804031,0.09282938261,-2.066629748,1.593989611,1.245728731,-1.174961686
2.83724821,-0.03219868055,-3.068820877,1.714392424,1.184752703,-1.283707857
3.419577558,-0.5596785403,-2.926279369,1.756992936,1.024298191,-1.509519219
3.544274782,-1.879451226,-2.668630011,1.712205529,0.5777731538,-1.80501008
3.514638937,-3.745509594,-1.962986418,1.530964732,0.2838793099,-2.016710758
3.986095004,-5.384748919,-1.914321756,1.335213065,0.1354935616,-2.000455618
3.302012086,-5.230853658,-2.378018879,1.103628397,0.3762339056,-1.988193154
0.8896744648,-3.889960735,-2.583692843,0.7877745628,0.5896348357,-1.917315006
1.80926476,-2.459043258,-4.440816794,0.4987049997,-0.2622274756,-1.503547907
2.693527721,-1.479536839,-2.642197639,-0.04105142877,-0.7919270396,-1.129461646
3.447453407,-0.8023334505,-1.302936702,-0.7902343273,-1.202013612,-1.008117795
1.175982639,-0.9638888711,0.2823217346,-1.262900591,-1.564258575,-0.7569428682
-1.14244628,-1.318362234,0.321372473,-1.026781678,-2.613696814,-0.1133984476
2.222414768,0.5470464378,0.189705118,-0.5995935202,-2.832420826,0.7069103122
-0.4685521623,3.200052763,5.997916473,-0.2102902532,-2.719681978,1.011187792
-0.0124888947,6.72889266,1.239582127,-0.3391909897,-3.159938812,0.8748297095
1.907458592,6.435429354,5.213813675,-0.4860799313,-1.178877831,0.5775476098
1.582065778,4.473246653,6.319086117,-0.7444672585,0.2971637845,0.2157363892
0.9397147993,2.055141847,3.354246715,-1.271093607,0.6029282808,-0.09964791685
0.1405138016,0.2937409543,4.73143874,-1.829561949,0.6337935328,-0.3916294575
-0.6587585078,-0.4153828821,5.515698189,-2.092407227,0.1054301634,-0.7388685346
-0.05355974075,0.4736801728,5.329223431,-2.021244526,-0.5564265847,-1.11076808
1.314411451,1.76212833,6.249890415,-1.700320721,-1.271311164,-1.494575024
1.062297807,3.095829003,5.3936658,-1.578896284,-1.856539726,-1.648185134
0.8529436938,3.550971649,3.820333072,-1.600480676,-1.650938392,-1.435766578
