X-Accelerometer,Y-Accelerometer,Z-Accelerometer,X-Gyroscope,Y-Gyroscope,Z-Gyroscope
-1.547380103,2.648663912,-0.6000842005,0.3155976832,-1.218719482,-0.7282899022
-1.510185513,3.828433669,-2.205322179,0.6463119984,-1.267237067,-0.8794885278
-1.03782373,1.927570383,-1.086131103,0.8489120007,-1.519883394,-0.9897790551
-0.9670829909,0.9980392702,1.272169807,0.7941251397,-1.71925211,-1.270846605
-0.6783728704,0.7585647436,2.978919365,0.6408026814,-1.524797201,-1.890333533
2.010010327,0.06272212137,3.235713275,0.402025491,-1.237528563,-2.050023317
2.490885088,-0.8396183483,3.262107361,0.3224835396,-1.055621028,-2.272520065
0.4894355219,1.286160046,2.794777434,0.498103261,-0.8302134275,-2.564373732
-0.5697196035,1.966135238,1.840799716,0.799048245,-0.4867303669,-3.039779902
-2.59280437,2.220884198,1.518310806,1.235759854,-0.3249519765,-3.483991861
-3.141409143,1.847056146,0.7182078911,1.714555502,-0.4347842038,-3.579384327
-2.140007411,1.073584341,-0.1911059247,2.192777634,-0.782507956,-3.196895838
0.001937543934,0.9418243388,-0.9296838191,2.628950357,-0.9687191248,-2.553451061
0.4326343881,1.776437134,-1.213469781,3.048411131,-0.7351087332,-2.036477089
-0.2552708653,3.317646877,-0.5541454561,3.208149195,-0.08400126547,-1.736036777
-1.426659089,3.931774801,0.9809177473,2.775499821,-0.3163713515,-1.33763957
-0.5437570408,3.16419293,1.099866198,1.969922304,-1.621510744,-0.4601564705
1.802021365,1.671365525,-0.1819844606,1.389183402,-2.264074087,0.2998502851
2.263463403,0.522972027,-0.3901706995,1.058365822,-2.149331093,0.692536056
1.80649398,-0.09245821121,-0.5053934079,0.8907755017,-1.628320336,0.7745245099
0.2573046361,-0.2534182962,-0.8543190738,0.8278521895,-0.7989285588,0.6528968811
-2.259967231,0.2801753703,-0.4252379212,0.7465452552,0.157321468,0.3985664248
-4.56335947,0.9757458976,0.4952613055,0.5586318374,1.28500402,0.01265760884
-5.968149695,1.061160328,0.5246978278,0.3112258911,2.784835815,-0.4897968769
-6.053948157,1.092386656,-0.8126450011,-0.01244965568,4.361268997,-0.9512345791
-4.674834224,1.309408528,-1.976113611,-0.4304811656,5.476411819,-1.225193739
-2.872840624,1.074732342,-2.048255887,-0.8653652072,5.962666512,-1.37619555
-1.042048289,0.1458902339,-2.333840423,-1.149103165,5.571423531,-1.401484728
1.362744981,-0.8311094631,-2.889042694,-0.9183982611,4.642403603,-1.279609919
2.460454878,-0.7697621372,-3.427077558,-0.3899587691,3.858521938,-1.300916791
1.332238345,-0.04183189356,-1.970180129,-0.01438087039,3.317265034,-1.497076154
0.3223608996,0.9790969616,-0.2747714654,0.09374467283,2.863880634,-1.656969547
-0.1442135329,1.782188829,-0.01517886443,0.1550818086,2.758565903,-1.665221334
0.5216407784,2.537677819,-1.67796127,0.3445859253,3.220953703,-1.423235655
1.848801236,3.611398645,-3.73430051,0.5643755198,3.863877296,-0.9647806883
2.667762581,4.237633186,-3.855192496,0.7663597465,4.479137421,-0.4232318401
2.545444361,4.107434442,-2.614000011,0.8805515766,4.601789951,-0.0154081583
1.436462836,3.572730476,-0.445595065,0.9498332739,4.247289658,0.09620951861
-0.214085526,2.956105768,1.314504974,1.087284327,3.856625557,-0.08659438044
-1.371335699,2.015602156,2.161536814,0.8459734917,4.0131464,-0.5271131992
-1.509472835,0.5372884293,5.075350961,0.002143731341,4.416975975,-0.9785149693
-0.02431961774,-0.1685217524,6.7536004,-0.8716453314,4.535387039,-1.452876091
1.178159983,0.3512310202,4.826623453,-1.268470764,4.516742229,-2.099301577
1.4940625,0.9342644249,2.556152802,-1.153201222,4.513338089,-2.69186902
1.990487589,0.3447247071,0.927704628,-0.6582448483,4.483378887,-3.055740118
2.509959206,-0.03377075218,-0.2606441558,0.03435986489,4.299149036,-3.250498295
3.10925664,0.02698123817,-0.5397264701,0.8902950883,4.054172516,-3.366761684
3.76471786,-0.3899070801,-0.7052209837,1.8024683,3.781153679,-3.49674058
3.580502279,0.3378475148,-0.3847720553,2.561796188,3.33549881,-3.661632538
2.549882636,1.260522624,0.4876157592,3.12917614,3.067244768,-3.939397573
