lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
-10.517353,-9.006584,-2.03031,-3.924999,1.0751675,-0.6076403
-4.1297126,-7.6851482,6.6795645,-3.60125,2.494242,0.5700732
-1.7979071,-8.429615,2.0590239,0.49829865,2.9132833,1.1302965
-1.7572291,-6.1887364,-1.9630119,0.9203941,1.3989166,0.9452098
-0.5315057,-5.5423756,-3.1866415,0.44698748,2.2291343,0.1357608
-5.118547,-10.692029,-1.7117655,-1.432055,3.0012453,-0.53311694
-8.183154,-11.537293,1.5442679,-0.25983915,1.1545777,-0.7273664
-6.8949184,-10.62503,-0.37836507,0.4524851,1.8026866,-0.48791423
-9.0544405,-10.253843,-1.8385851,0.74508095,-0.21066594,-0.4732539
-12.564114,-9.820743,2.774777,0.9265026,0.012904149,-0.20264858
-11.623435,-8.827123,2.3868406,2.0944426,-1.6712781,0.65559185
-9.442377,-10.890634,-4.848158,2.4829414,-3.9754703,1.5328448
-3.6583266,-13.950455,-7.4886374,1.2643011,-5.16479,1.4015126
-2.097309,-20.208584,-2.1978076,0.85503346,-1.4031161,0.5621322
-0.5315057,-14.977574,-1.0654043,2.5715141,0.58587885,0.8767949
-0.9768698,-8.513364,-7.0603223,1.740762,-2.0231261,0.8902335
-4.5655055,-4.7449675,-2.8106692,0.78906196,-1.2644538,0.4705051
-6.538388,-2.6096723,-4.165605,0.9112314,-1.1893196,1.1791643
-2.0494525,-2.8704898,-6.035596,0.14087665,-2.2185972,0.92260844
-0.7851449,-3.0355947,-5.2740803,-0.41621605,-2.331604,0.5737383
0.81625164,-2.2360928,-4.79073,-0.8193752,-2.1446848,0.34283802
2.4729822,-1.9007984,-4.613362,-1.1620605,-2.3224413,0.08628218
4.034,-2.4011974,-4.041178,-1.5658306,-2.115975,-0.3504736
3.1603205,-4.2520456,-2.6838498,-1.9781525,-0.7140041,-0.41278005
0.7013961,-10.677672,11.55165,-1.9091268,0.13690615,-0.038941514
-19.078573,-29.854351,28.073193,2.3711565,1.5064257,1.2567419
-14.034204,-18.551853,4.453043,-1.8272732,-1.2858335,2.7893577
-4.9845486,-7.926823,7.4479594,-0.544494,-1.1441169,0.18890451
-0.3376871,-3.7851462,0.36400816,-0.5188384,0.13629529,-0.39995223
1.7261224,-7.4647093,3.8760736,-1.3361521,1.4154094,-0.16660859
-4.074678,-17.06262,4.115356,-0.10712734,1.7660358,-0.115908265
-6.0403814,-19.1025,-8.398508,0.69438064,-0.44339874,0.2597628
-1.189831,-11.0608225,-8.599505,0.712706,0.40323555,-0.110410646
1.1347961,-5.4346986,-9.662517,-0.44187164,2.706206,-0.6846071
