accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
0.3097749742,0.1862119786,-0.8096487419,-0.2930912673,-0.3815064728,0.4100398421
0.2587766084,0.1765716418,-0.8312778054,-0.2086597979,-0.4945880175,0.4018559456
0.1530652401,0.05147767378,-0.8586123871,-0.1646563858,-0.5716716051,0.3552061617
0.07425532278,-0.1363075821,-0.7922896109,-0.1518749744,-0.6043590307,0.2985167205
0.05806757357,-0.3078554043,-0.7421487386,-0.1789196432,-0.57659477,0.2327731252
-0.01737549769,-0.3833994518,-0.6664344492,-0.2267306298,-0.4820360243,0.1821036041
-0.05747136124,-0.361903367,-0.6001859073,-0.2802061141,-0.3507125974,0.162785843
-0.02584901927,-0.2550681093,-0.5976859072,-0.3217143118,-0.2124085128,0.1728470474
0.01686228747,-0.1612020771,-0.576159135,-0.3403870761,-0.0964108184,0.2034009546
0.06680822164,-0.1330829209,-0.6083364805,-0.3193736374,0.008628521115,0.2219305784
0.08793488856,-0.1293226916,-0.6062637659,-0.2801085114,0.07545655221,0.2312420458
0.1221820261,-0.1733935963,-0.5947399168,-0.2432191819,0.09496499598,0.2239368409
0.1393123168,-0.2278149954,-0.5494324561,-0.2159947455,0.07769866288,0.2096617669
0.169584121,-0.3313186975,-0.4777285714,-0.2066376805,0.06286777556,0.1875425577
0.09837298821,-0.4695511102,-0.3289151435,-0.2253130972,0.08341086656,0.1684367657
-0.06542085894,-0.6114328391,-0.1075643027,-0.2566176057,0.1393042356,0.1483039707
-0.2505734282,-0.6831928379,0.01395546012,-0.293636322,0.1967603415,0.09951486439
-0.4348807788,-0.7084035593,0.005686228943,-0.3149667382,0.2202297151,0.0269962661
-0.5662722395,-0.7749384439,-0.1746440347,-0.3087210953,0.1797174513,-0.05591406301
-0.498679005,-0.8699645328,-0.5458738869,-0.2750573158,0.1091535315,-0.1456738114
-0.3200263191,-0.9154078949,-0.8669652049,-0.2293782085,0.04849071801,-0.1927177459
-0.1445034557,-0.8417712885,-1.02003629,-0.1519337744,0.004744824488,-0.182515502
0.00264466929,-0.6447165384,-1.159030335,-0.05003671348,-0.04409249127,-0.1416218579
0.219926361,-0.4414698749,-1.269540043,0.06063045561,-0.08653182536,-0.08681358397
0.3957330098,-0.3259307209,-1.224134383,0.1517997831,-0.1147735789,-0.02871911786
0.4196630437,-0.3024409781,-1.039164769,0.1930777133,-0.1033041105,0.009852507152
