bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
2.0694926,-16.885551,-2.5579274,-0.3027925,1.0860051,0.23288657
5.8543396,-15.7355,-2.9485557,-0.7756228,0.36817116,-0.38588065
4.733302,-15.951154,-4.412066,-1.5094352,0.46404213,-0.80331886
-0.45044887,-16.307983,-6.1414785,-2.7331216,0.2659088,-1.0376701
-2.4077778,-13.951054,7.495816,-3.6757197,-1.2218223,-0.9790823
-1.9190438,-14.319847,4.8969116,-3.5020866,-0.6467296,-1.2262163
-5.5313087,-17.630318,-5.621937,-3.4477599,-0.4240959,-1.2379339
-5.5073805,-16.549957,-6.417251,-2.8449712,1.1829413,-0.9982565
-1.7943178,-12.930514,6.18096,-1.9130254,1.6195537,-1.3274136
-0.3595216,-9.766006,0.91555375,-1.9780046,0.7271547,-1.4710869
1.5711871,-5.877969,2.1780667,-2.423272,-1.7393924,-1.3688245
1.084846,-3.5521452,0.6735796,-2.4168806,-2.406095,-1.2134336
0.29192436,-2.8812575,0.7286145,-2.1558986,-2.0813322,-0.9790823
-0.9056834,-3.2479577,1.3034902,-1.7075685,-1.6637608,-0.8959941
-2.1155543,-2.603391,1.1479566,-0.90558124,-0.98853624,-0.6852111
-2.4340987,-1.5278172,1.6319051,-0.177095,-0.8736242,-0.5264914
-2.134697,-1.5038891,0.5563313,0.7195649,-1.0204933,-0.24100897
-1.4255241,-1.0654043,-1.6788642,1.6259451,-0.9970581,0.1210371
0.35204405,-2.6970103,-6.443572,2.6941075,-1.1046467,0.41291094
4.699803,-18.876081,-22.086052,1.6099665,-0.3665733,0.72808677
8.685946,-28.728827,-20.586351,0.06671022,0.29680055,0.32662708
6.4531436,-21.702902,-4.666004,-1.5105004,-0.8555153,-1.5690882
-1.3298112,-0.7253244,-7.7345,-0.8523196,-1.504109,-1.3837377
-6.5685973,-5.331807,-5.9955163,-0.8278192,-0.47948802,-0.4519251
0.57487565,-24.12713,-6.091229,-0.4348814,0.47043353,-0.6383409
-5.2534423,-5.9500527,5.577071,-1.0547138,0.42995468,-0.69479823
-12.674782,1.090529,-0.99601245,1.0870703,-0.74899197,0.55551904
-0.421735,-9.5048895,12.516855,2.582258,2.7708042,0.91450256
3.2626138,-20.825932,1.1718849,2.1829288,2.2191467,0.84739286
5.238786,-15.757036,3.3445678,2.0487094,0.46830305,0.37243208
-1.1356934,-7.813762,-2.9341989,2.0636227,0.330888,0.19134249
-6.3864436,-4.996513,-2.035694,1.9752083,0.39693245,0.76004374
-2.7789643,-7.0399833,-1.2690933,1.9911869,0.37456256,1.3447236
1.4300107,-9.68465,0.18245272,1.9475123,0.54180413,1.3372669
2.7523441,-10.012766,-0.46181476,1.9208815,0.4374113,1.012504
2.400001,-9.032906,-1.8777676,1.8750764,0.34473604,0.6588466
0.24646074,-8.980264,-2.3159533,1.6994461,0.5865439,0.5224968
0.35682967,-9.040084,-1.8104694,1.442725,0.5854787,0.57895416
-0.064905316,-7.9310107,-1.3938192,1.3372669,0.5354127,0.6897384
0.7160522,-7.969296,-0.7755736,1.2264826,0.43847653,0.8111749
0.9819546,-9.0544405,0.017347964,1.1583078,0.2882787,0.83461004
0.4334,-9.744472,-1.0486546,1.122223,0.25538963,0.76643515
-0.29012975,-10.2571335,-2.4598217,1.0402,0.35538837,0.6215635
1.6743777,-10.1348,-0.89312106,0.747261,0.6312837,0.5310187
2.8480573,-12.32214,2.3048863,0.25525647,0.74526364,0.39586723
1.4515461,-14.468501,-0.5072784,0.330888,0.3117138,0.21158192
0.7543373,-16.329819,-3.1519456,0.044340324,0.1999975,-0.054726347
4.158427,-16.307983,-0.26081768,-0.6957303,0.07536524,-0.4636427
4.0794635,-15.635002,-1.9567307,-1.4870653,-0.25698745,-1.0174307
-2.8148568,-15.266209,-7.7297144,-2.3423142,-0.25272653,-1.2038465
-5.7469616,-12.595221,7.711469,-3.4094114,-0.9077117,-0.77668804
-3.2294133,-15.091233,4.67408,-3.28904,0.27336544,-0.9694952
-4.3097725,-17.774185,-5.3246284,-3.2570832,-0.054593194,-1.1644329
-3.991228,-18.267706,-6.189634,-2.8300579,1.5364655,-1.2677604
-4.788935,-14.499608,5.038088,-2.176138,2.252169,-1.1772157
-1.0926226,-9.423533,0.41964126,-1.9151558,0.60997903,-1.4497821
2.1149561,-5.861219,2.25703,-2.3114226,-0.60092455,-1.1963898
2.2420747,-3.0227332,2.0509481,-2.2421823,-2.1143544,-0.8565805
1.6863418,-2.0380867,0.52253264,-2.245378,-2.1877222,-0.647928
-1.4925231,-2.536392,1.4449657,-1.5658926,-1.3571069,-0.364576
-3.6005998,-2.3111675,2.5707889,-0.9588429,-0.9343425,-0.25059608
-3.176472,-2.455036,2.0174487,0.008122402,-1.0034496,-0.20585628
-2.0745773,-3.0059834,0.16331014,0.92195916,-0.9545819,-3.99E-04
-1.0013963,-2.8166513,-0.7899306,1.9198163,-1.0780158,0.25419122
2.349752,-4.4407797,-7.114161,2.8869147,-1.5477836,0.29253963
5.5980086,-12.439387,-19.604397,2.3288658,-1.2356703,0.29680055
8.7577305,-33.555748,-17.951553,-1.3144976,1.1477885,-0.7607095
3.4707892,-22.792831,-6.5943203,-2.1558986,-1.2303442,-1.8449836
-4.3169513,5.682655,-5.808577,-1.2049117,-1.1419297,-1.1495196
-8.403593,2.4918256,0.51535416,-1.0195612,-0.9789491,0.019839965
-7.768897,-15.651752,0.56111693,0.17429875,-0.22396524,0.19986434
8.446364,-28.52753,-3.7100716,-1.5573707,1.8198174,-0.34114087
-11.977572,-0.3589234,1.9480567,0.027296597,0.45019412,-0.43701184
-4.6522455,-2.0045872,-3.4298122,1.1105055,0.4597812,0.980547
-0.3260221,-13.823935,6.070591,2.183994,2.371475,1.1625687
5.2603216,-18.648464,1.7395821,1.7463164,1.5726835,0.62049824
3.2312078,-13.146168,0.31196424,1.8985115,-0.022636201,0.40012816
-2.4077778,-7.667501,-1.0920244,1.8804026,-0.07696309,0.5672366
-0.17018951,-8.525029,-1.137488,1.9815997,-0.2836183,0.4565855
-3.0664022,-8.141878,-2.4598217,2.1531022,-0.17602976,1.360702
0.52911294,-9.643972,-0.22462623,2.2052987,0.16591005,1.2009171
1.4371891,-8.410173,-1.681257,2.2095597,0.34580126,0.88254553
0.474078,-7.8759756,-1.6573287,2.202103,0.5119776,0.65671617
-0.017048862,-8.652147,-1.8921245,2.0678835,0.5950658,0.7323477
0.8575278,-8.810074,-0.2318047,1.6270103,0.6611102,0.8697628
1.5233307,-8.795717,-0.8045866,1.5300741,0.4885425,0.8633714
1.7557336,-9.768399,-2.4143581,1.3308755,0.2786916,0.77602226
1.4898312,-10.827224,-3.528217,1.0210259,0.1712362,0.6663033
0.8045866,-10.048658,0.5491528,0.761109,0.39373675,0.48627886
2.8337002,-10.647463,2.1661026,0.4342156,0.15738818,0.5970631
3.6218362,-14.108979,3.7301114,0.2371475,-0.286814,0.56617135
-0.26859435,-15.309279,-4.138985,0.42249805,-0.6190335,-0.039813083
-1.1715858,-13.361522,-2.428715,-0.42529428,0.4629769,-0.22929141
1.884946,-12.171092,-1.9950159,-0.85871094,0.25112867,-0.2484656
2.1077776,-12.410674,-4.3378882,-1.631937,0.36391023,-0.5680355
-2.9563324,-13.054941,0.21355942,-2.4626856,-0.98214483,-0.6255581
-3.2509487,-13.883755,4.0274196,-2.8843846,-0.53168446,-0.7363423
-4.6953163,-17.13949,1.2843475,-3.2474961,-0.09826775,-1.0035827
-3.964608,-19.680965,-4.5726843,-2.9802556,0.10412653,-1.1122364
-5.119444,-15.503098,-0.5769694,-2.4987705,2.005168,-1.3093046
-5.150551,-13.500605,1.442573,-2.1974425,1.9529716,-1.3039783
-1.4231312,-10.350453,3.6463625,-1.668155,0.90811116,-1.201716
1.8969102,-8.33121,0.3789633,-1.6021105,0.10412653,-1.4029119
0.47886363,-5.36082,0.9610174,-1.677742,-0.73940486,-1.3487182
-1.1069796,-2.754438,0.67118675,-1.6330023,-1.3379327,-1.128215
-2.350051,-1.7075781,2.204388,-1.3336717,-1.5190223,-0.9780171
-2.1825533,-1.1422737,2.8103702,-1.0856056,-1.6754783,-0.7320814
-1.7416757,-1.4488541,1.1623136,-0.28148782,-1.2836058,-0.46577314
-2.3021946,-2.7927232,0.38853458,0.6002588,-0.9375382,-0.10266183
-1.6124634,-3.5210385,-0.9984053,1.1435276,-1.0215585,0.20838621
0.6155536,-3.6933217,-4.9031925,1.9549689,-1.1877348,0.27336544
1.9713868,-7.557431,-12.808182,2.150972,-0.7543181,0.04966649
6.1971116,-23.516064,-24.797718,0.55019283,0.050864875,-0.03129122
8.118249,-29.432915,-7.1596246,-2.2048993,-0.9141031,-1.3050436
1.9307088,-2.9916265,-7.066304,-1.2102379,-1.6424562,-1.4934567
-5.9506507,-0.24376881,-3.415455,-1.0121045,-0.8246235,-0.45299035
-6.1085773,-12.928122,3.301497,-0.4316857,0.06897384,-0.067509145
-0.89371926,-23.264517,-8.39821,-0.9034508,0.5439346,6.66E-04
-8.259725,-5.046762,7.867302,0.34580126,-0.048201796,0.3276923
-4.1347976,-4.232305,-1.2427722,1.6930548,1.3619004,0.8761542
0.56500524,-14.595321,8.027621,2.6546938,3.2480288,0.78880507
4.7596235,-16.940586,1.2771691,2.074275,1.7622949,0.1529941
1.0250254,-8.922835,-1.2140584,2.2553647,1.2543119,0.1497984
-4.2424746,-5.8013983,-0.90508515,2.1765373,1.4737499,0.8047835
-4.5278187,-7.1596246,0.54406804,1.982665,0.6515232,1.4118332
-0.6445666,-9.001799,0.67836523,1.9240772,0.1872147,1.4182246
1.1856437,-9.809077,-0.51445687,1.8207495,0.20106274,1.1923952
1.4060824,-9.016156,-0.3804588,1.868685,0.21704122,0.8591104
0.4621139,-8.604291,-2.3614168,1.8239453,0.64939266,0.75897855
1.2215359,-9.2126665,-0.8452646,1.7111636,0.76443785,0.8005226
1.4347963,-8.436495,-0.38285163,1.5151608,0.5535217,0.8420667
1.2239288,-8.647362,0.30957142,1.3053099,0.215976,0.8772194
0.6969096,-9.457033,-0.97926265,1.1838733,-0.12809427,0.80691403
-0.09601201,-10.513465,-1.6334006,1.0519176,-0.12809427,0.6993255
-0.06011967,-9.849755,-1.4584254,0.8228925,0.27443066,0.6418029
1.3651053,-12.15195,-0.102592275,0.49706435,0.50345576,0.6705642
3.1857443,-14.530715,1.0351949,0.1306242,0.63874036,0.49480075
1.1306087,-13.673187,-2.2800608,0.0027962367,0.17656237,0.11145
0.10767702,-14.384454,-4.4575295,-0.1323552,0.24899822,-0.13568406
2.184647,-13.18206,-1.5038891,-0.9716257,0.39906293,-0.3315538
2.7308087,-13.946268,-2.658426,-1.709699,0.29360485,-0.5595136
-1.6770695,-14.866009,-2.675475,-2.7245998,-0.008788172,-0.8214278
-3.5958142,-13.256237,5.8621163,-3.133516,-0.90664643,-0.8970594
-2.5441687,-15.143875,3.1863425,-3.1090157,-0.21331291,-1.2720214
-3.83061,-17.311773,-5.7320065,-3.1271248,0.34580126,-1.3370006
-3.5814574,-17.508284,-1.2236297,-2.592511,1.909297,-1.3677592
-4.532604,-15.460027,4.942375,-2.0227444,1.5748138,-1.3540443
-1.3968102,-10.604392,-1.8104694,-1.7746782,0.10093083,-1.7405908
0.30179477,-6.958627,2.7433712,-1.9748089,0.13288783,-1.5232832
1.180858,-4.299603,2.2211375,-1.9417866,-1.623282,-1.1942594
0.22492532,-3.3460634,1.6052849,-2.0515056,-2.2218099,-0.87042856
-1.7943178,-2.6321049,1.6630118,-1.695851,-2.1015716,-0.52755666
-3.449852,-1.8511474,2.0964117,-0.9556472,-1.8310024,-0.21970432
-2.9009984,-1.0872388,1.998306,-0.18029068,-1.8320676,0.0038614697
-1.7632111,-1.3289139,-0.04516453,0.7877398,-1.7937193,0.21690807
-1.3369896,-1.9375881,-0.83090764,1.6589673,-1.7244791,0.35432315
0.62512493,-3.3317065,-6.7334027,2.7356515,-1.4742825,0.07629731
1.7222341,-13.289737,-19.697716,2.2574952,-0.44007438,0.12849373
6.613762,-29.600712,-23.624039,-0.116376705,1.3597699,-0.10692277
3.9260237,-20.179272,-3.1806595,-1.9087645,-0.32835808,-1.9950483
-0.7115656,0.18484555,-7.6531444,-1.2825406,-1.8022411,-1.3869334
1.6262221,3.3613176,-5.4684973,-0.86403716,-1.5977163,0.0038614697
0.36400816,-10.431809,8.252846,1.0433958,-0.06737599,-0.4870778
-1.698605,-39.15645,-17.137096,-0.57868785,1.3278129,-0.42316383
-7.6345997,-4.6803613,9.069695,-0.78094894,0.6653712,-0.48601258
-11.901003,5.3760743,-4.8936214,0.7398043,-1.7628275,0.21158192
-1.8134605,-7.1715884,11.161022,2.4086251,2.975329,0.6087807
-0.7259226,-18.595821,0.19920248,1.9879911,2.8421748,0.7238258
2.7308087,-16.657934,0.81984085,1.9879911,0.92089397,0.54699713
-1.6627127,-7.8376904,-2.4526432,2.133928,1.2479205,0.6684337
-2.9563324,-6.376274,0.8605189,2.0274048,0.91130686,1.1103723
-0.78364944,-8.144271,0.59700924,1.9986435,0.17230144,1.2925271
1.4395819,-9.68465,0.5129613,2.0433834,0.21064983,1.1338074
1.6863418,-9.279665,0.27816564,2.0252743,0.049799643,0.81756634
0.059820566,-8.369495,-1.4895321,1.9549689,-0.0023967742,0.63328105
-1.0591232,-8.68804,-1.7554345,1.8441846,0.6568493,0.62795484
-0.90807617,-9.059227,-1.314557,1.5875967,0.7154371,0.72808677
-0.64935225,-8.290234,-0.40438703,1.3809415,0.8070472,0.8356753
-0.6756733,-8.582756,-0.96729857,1.3383322,0.6302185,0.9507205
0.43579283,-9.418748,-1.4560326,1.3553759,0.39906293,0.9677642
2.6084757,-10.738688,-2.428715,1.2786791,0.3788235,0.71210825
3.4779677,-11.77837,-2.4071796,0.9975907,0.76763356,0.4342156
2.5701907,-13.517354,0.41964126,0.35858408,0.6792192,0.35538837
0.8647063,-13.718651,-1.9351953,0.17855969,0.46830305,0.3074529
-0.6230312,-12.868301,-3.801298,-0.039813083,0.8686975,0.09760197
1.9522442,-13.601103,-0.08344969,-0.68827367,0.3660407,0.063514516
2.4912274,-14.137693,-1.4560326,-1.3858682,-0.25379178,-0.27829212
0.75912297,-15.163018,0.5587241,-2.1143544,-0.12809427,-0.5222305
-4.755137,-14.437096,0.46749774,-2.666012,-0.29427063,-0.904516
-5.2366924,-15.745072,2.4272194,-3.0505612,0.2797568,-1.1718894
-6.422635,-17.192131,-2.6512475,-2.922733,1.0156997,-1.3656287
-5.1457653,-14.7559395,-3.135196,-2.5094228,1.8656225,-1.3592373
-4.467699,-12.949657,-0.38763726,-2.2709436,2.252169,-1.3242178
-1.1189437,-10.690534,4.417749,-1.815157,1.3150302,-1.1793461
1.9474585,-7.9357963,0.3167499,-1.7480474,0.026364516,-1.3061088
1.6214365,-5.2456656,1.9815563,-2.203834,-0.7553834,-1.1218235
0.9029915,-3.5234313,1.3441681,-2.1548333,-1.8118283,-0.8469934
-0.08883354,-3.2934213,2.1083758,-2.099441,-1.9737437,-0.7065158
-2.2112672,-2.6488547,1.1718849,-1.5669578,-2.0568318,-0.6031882
